Produkt,Data,Ilosc,Cena_za_sztuke,Przychod
Myszka,2024-02-27,3,2409.97,7229.91
Laptop,2024-05-20,3,2222.78,6668.34
Telefon,2024-04-24,1,1830.87,1830.87
Telefon,2024-02-22,2,552.38,1104.76
Myszka,2024-10-06,3,1431.82,4295.46
Laptop,2024-10-29,1,1843.23,1843.23
Monitor,2024-01-17,4,1987.58,7950.32
Laptop,2024-02-17,1,2912.74,2912.74
Telefon,2024-04-29,4,2821.8,11287.2
Klawiatura,2024-11-04,2,627.29,1254.58
Laptop,2024-10-14,1,1890.7,1890.7
Telefon,2024-11-28,2,1621.79,3243.58
Myszka,2024-10-06,4,166.88,667.52
Monitor,2024-04-22,3,1874.37,5623.11
Monitor,2024-10-28,2,235.33,470.66
Tablet,2024-01-04,4,1162.45,4649.8
Telefon,2024-12-23,2,362.76,725.52
Monitor,2024-06-23,2,679.05,1358.1
Tablet,2024-03-20,3,2951.37,8854.11
Telefon,2024-06-21,1,234.71,234.71
Laptop,2024-02-17,3,2072.89,6218.67
Monitor,2024-02-19,1,288.65,288.65
Tablet,2024-06-25,4,2832.39,11329.56
Klawiatura,2024-05-15,2,2444.35,4888.7
Laptop,2024-08-23,1,146.3,146.3
Klawiatura,2024-03-04,2,2084.28,4168.56
Monitor,2024-02-10,3,2081.46,6244.38
Klawiatura,2024-05-30,4,1536.01,6144.04
Myszka,2024-11-12,3,602.76,1808.28
Tablet,2024-10-22,1,850.46,850.46
Telefon,2024-12-26,4,2290.55,9162.2
Laptop,2024-01-24,2,1608.2,3216.4
Myszka,2024-04-26,2,1746.33,3492.66
Tablet,2024-02-10,1,2911.8,2911.8
Telefon,2024-02-21,2,1404.29,2808.58
Monitor,2024-05-22,2,2695.0,5390.0
Monitor,2024-11-21,2,2209.09,4418.18
Tablet,2024-03-24,3,356.63,1069.8899999999999
Tablet,2024-06-30,3,1610.42,4831.26
Telefon,2024-12-09,2,1043.46,2086.92
Tablet,2024-12-25,4,2267.23,9068.92
Myszka,2024-11-27,3,2503.34,7510.02
Laptop,2024-11-07,2,2899.24,5798.48
Myszka,2024-03-28,4,1673.82,6695.28
Klawiatura,2024-05-05,1,959.19,959.19
Telefon,2024-08-24,1,316.2,316.2
Monitor,2024-05-18,3,1327.86,3983.58
Myszka,2024-12-18,1,676.28,676.28
Klawiatura,2024-04-22,4,140.83,563.32
Myszka,2024-06-15,3,2149.89,6449.67
Laptop,2024-04-27,3,2391.51,7174.530000000001
Laptop,2024-06-10,3,314.73,944.19
Monitor,2024-05-17,3,1988.12,5964.36
Laptop,2024-04-18,4,2603.0,10412.0
Klawiatura,2024-06-10,4,1403.41,5613.64
Telefon,2024-12-01,1,284.32,284.32
Monitor,2024-07-21,3,2039.64,6118.92
Myszka,2024-08-22,1,2215.86,2215.86
Telefon,2024-05-15,4,896.69,3586.76
Telefon,2024-05-06,3,1469.42,4408.26
Myszka,2024-10-14,1,2917.97,2917.97
Klawiatura,2024-05-14,3,2306.28,6918.84
Myszka,2024-10-26,2,784.36,1568.72
Monitor,2024-10-25,2,1532.01,3064.02
Monitor,2024-07-04,1,2160.92,2160.92
Telefon,2024-03-11,2,173.72,347.44
Klawiatura,2024-09-09,1,684.99,684.99
Laptop,2024-01-25,4,1945.59,7782.36
Laptop,2024-03-19,4,1733.5,6934.0
Myszka,2024-03-22,4,2731.94,10927.76
Myszka,2024-08-04,3,1852.81,5558.43
Klawiatura,2024-02-02,3,2291.1,6873.299999999999
Monitor,2024-07-14,4,2834.28,11337.12
Klawiatura,2024-08-27,3,940.28,2820.84
Klawiatura,2024-05-08,2,2653.36,5306.72
Klawiatura,2024-01-06,2,2443.55,4887.1
Myszka,2024-02-28,1,405.93,405.93
Myszka,2024-10-01,4,2430.65,9722.6
Tablet,2024-11-24,4,1307.88,5231.52
Tablet,2024-02-27,2,1664.09,3328.18
Tablet,2024-08-10,2,454.06,908.12
Telefon,2024-08-20,1,1022.21,1022.21
Laptop,2024-05-14,1,889.18,889.18
Klawiatura,2024-04-01,3,1338.61,4015.83
Klawiatura,2024-02-24,4,1122.45,4489.8
Myszka,2024-06-01,3,120.16,360.48
Myszka,2024-09-16,4,1648.86,6595.44
Klawiatura,2024-04-11,2,744.11,1488.22
Telefon,2024-07-10,3,881.3,2643.8999999999996
Telefon,2024-10-03,4,2834.44,11337.76
Klawiatura,2024-01-01,2,734.42,1468.84
Klawiatura,2024-06-14,4,2138.75,8555.0
Monitor,2024-01-10,1,288.19,288.19
Laptop,2024-07-04,2,2891.1,5782.2
Tablet,2024-05-02,2,2119.28,4238.56
Laptop,2024-05-03,3,972.55,2917.6499999999996
Klawiatura,2024-02-10,1,2993.45,2993.45
Laptop,2024-09-05,3,1867.74,5603.22
Laptop,2024-09-29,2,1292.01,2584.02
Telefon,2024-03-06,3,908.07,2724.21
Myszka,2024-08-31,1,1939.62,1939.62
Klawiatura,2024-03-25,2,520.2,1040.4
Tablet,2024-09-27,4,1398.57,5594.28
Klawiatura,2024-08-04,2,801.96,1603.92
Telefon,2024-10-03,4,334.47,1337.88
Myszka,2024-12-19,4,789.15,3156.6
Telefon,2024-12-31,3,2429.11,7287.33
Tablet,2024-07-23,1,1933.69,1933.69
Myszka,2024-11-28,2,1256.59,2513.18
Tablet,2024-08-12,3,361.84,1085.52
Klawiatura,2024-08-19,1,537.08,537.08
